movie_name,message_id,date,video_path,quality,size,language,channel_type,channel_id,channel_username
The Taj Story 2025,8,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Taj Story 2025,9,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Taj Story 2025,10,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Taj Story 2025,11,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Taj Story 2025,12,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Kis Kisko Pyaar Karoon 2025,20,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Kis Kisko Pyaar Karoon 2025,21,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Kis Kisko Pyaar Karoon 2025,22,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Kis Kisko Pyaar Karoon 2025,23,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Kis Kisko Pyaar Karoon 2025,24,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,25,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,26,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,27,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,28,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,29,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,30,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Akhanda 2 Thaandavam 2025,31,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Avatar Fire and Ash (2025),32,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Avatar Fire and Ash (2025),33,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Avatar Fire and Ash (2025),34,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Avatar Fire and Ash (2025),35,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Raja Saab 2026,36,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Raja Saab 2026,37,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Raja Saab 2026,38,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
The Raja Saab 2026,39,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Border 2 2026,41,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Border 2 2026,42,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Border 2 2026,43,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Border 2 2026,44,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Vadh 2 (2026),45,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Vadh 2 (2026),46,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Vadh 2 (2026),47,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Bhabiji Ghar Par Hain 2026,48,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Bhabiji Ghar Par Hain 2026,49,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Bhabiji Ghar Par Hain 2026,50,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Bhabiji Ghar Par Hain 2026,51,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Bhabiji Ghar Par Hain 2026,52,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
O Romeo 2026,53,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
O Romeo 2026,54,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
O Romeo 2026,55,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
O Romeo 2026,56,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
O Romeo 2026,58,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
O Romeo 2026,59,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
O Romeo 2026,60,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
O Romeo 2026,61,2026-03-18,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Dhurandhar The Revenge 2026,68,2026-03-19,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Dhurandhar The Revenge 2026,69,2026-03-19,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Dhurandhar The Revenge 2026,70,2026-03-19,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Dhurandhar The Revenge 2026,71,2026-03-19,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Dhurandhar The Revenge 2026,72,2026-03-19,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
Dhurandhar The Revenge 2026,73,2026-03-19,,Theater,Unknown,Hindi,theater,-1002831605258,@threater_print_movies
